Id,Session,Meeting,Speaker,Text,Cluster
S1M12,1,1,Chile,"Before going to the logistics and the background of our work, I would like to express myself in Spanish for some light remarks. I would like to thank you once again for giving me your trust to direct the work of this new working group of the United Nations. This responsibility is a recognition of the constructive role that my country, Chile, has played in the framework of world efforts aiming to find collective, peaceful and creative solutions. to the controversies and challenges faced by the international community. In this context, we share this vision with other nations that promote the strengthening of multilateral mechanisms and the international legal regime, because it is the only way to guarantee the peace and defense of common interests. by means of an international order based on clear and universal rules. Therefore, despite the existing difficulties, the work of this non-limited composition work group will allow us to seek to find a place of agreement concerning the threats that weigh on space security. Without any doubt, there are several points of view on the priorities that exist on the subject, but in the framework of our work, we will be able to take into account these different points of view, so that all the existing sensitivities can be taken into account. If our vision is partial, then we will not be able to reach our goal. to know how to fill the mandate that was given to us by the General Assembly, to produce a report including recommendations of rules, rules and principles on the behavior responsible in the framework of space activities. Once again, I call on all delegations to actively and constructively participate in our work. Because only through the commitment of all delegations, we will obtain results on our objectives. Taking into account the nations that have space exploration programs, the nations that are committed to this field, as well as those that depend on space technologies. I come back to this point because the open nature of this group allows us to participate widely and I am convinced that the more we are representative of the States but also of civil society, the more this process will be legitimate. Fortunately, we were able to resolve the questions in suspension regarding our meeting schedule. This allows us to launch discussions on the background issues that have occurred in the mandate that was entrusted to us by the General Assembly. I will come back to this subject in more detail later. Over the past few weeks, I've heard several comments that take into account the possibilities of successful multilateral efforts. This is due to the current geopolitical situation. On this subject, I would like to point out that these concerns must not make us lose hope. On the contrary, they must highlight the urgent nature of our task, namely finding a common agreement on space threats. I hope that with the commitment and participation of all the guys, the guys who are present, we will be able to have constructive discussions during this first work session. Thank you. I will continue in English before passing the exam of points on the order of the day. I warmly welcome Mrs. Melanie Rijimbal. New Director of the Geneva branch of the Department of Disarmament Affairs. We wish you success in these efforts. As you know, she has been the director of the United Nations Center for Peace, Disarmament and Development in Latin America, in Lima for years. Your Excellency, ladies and gentlemen, delegates. This group was created under the resolution of the General Assembly 76-231, entitled Reduce Space Threats by Norms, Rules and Principles of Responsible Behavior. This resolution provides us with the mandate of our work. You will remember that, according to paragraph 6 of resolution 76-231, a work group organization session was held in Geneva from February 7 to 9, 2022. During this session, we came to an agreement on various issues, and in particular, the group adopted its order of the day, currently published under the code A-AC-294-2022. The group has affirmed the applicability of the United Nations General Assembly's internal regulations to this body and has affirmed that all decisions taken by the group must be based on a consensus between the Member States. The group has affirmed... that other international organizations, commercial actors and representatives of civil society, as mentioned in paragraph 6 of resolution 76 of 131, will have the possibility to participate in the public plenary meeting of the group as observers and will be able to submit written contributions on the questions examined by the group. and this will be given to the organization for free. As part of the established practice, the President has decided to provide the group with a list of entities with a consultative status with the Economic and Social Council as part of information, as well as a list of all other organizations and commercial actors based on the principle of This list is available at the entrance of the conference room. You will remember that at the organization session, the question was raised about one of the linguistic versions of resolution 76.231 which... raised a doubt about the number of sessions that the group had to organize. As promised, I consulted the Member States and I submitted the question to the General Assembly. In this regard, I am delighted to inform you that on April 26, 2022, the United Nations General Assembly, on proposal of the permanent mission of Chile to the United Nations in New York, adopted decision 76-561. This one currently has the quota at 76, 50. As a result of this decision, the General Assembly has defined the following sessions for the working group. Unless, of course, the working group decides otherwise. First session this week from 9 to 13 May 2022. Second session from 12 to 16 September 2022. 3rd session, January 30th to February 3rd, 2023. And to finish, 4th session, July 7th to August 11th, 2023.",1
S1M13,1,1,Russia,"Thank you, Mr. President. I will now ask for the floor. on what you have proposed regarding the participation of non-governmental structures in the work of our pregnant woman. We have received two lists. One contains four organizations and the other five. The first category, namely the four organizations on the first list, are structures that have a consultative status with the ECOSOC. We fully support their participation in the work of our session, and this under the title of the established practice at the General Assembly. Regarding the second category, the second list, including five structures, we would like to remind you that During the organization session, we had long debates about the participation of these structures. The position of my country was as follows. We must respect established practice, nevertheless, so let's understand that... the participation of these structures in a system such as ours does not know of previous ones. And so... Even if we are not really satisfied with your proposal regarding the participation of this second category of independent structures, non-governmental structures, we understand that their contribution is precious for the work of our group. And according to us, this proposal that you have made gives them the right, at the end of each daily session, to express themselves, provided that the delegations do not oppose it. And if time allows us to. and on condition that their statements are not official. In these circumstances and in the precise case, we can accept your proposal. However, once again, I repeat that these three conditions must be respected. To know that there is no objection from the States. that time allows. and that their interventions do not take time, which could have been devoted to the deliberations between the delegations. And thirdly, that their statements... that these statements are not official. If we don't have enough time, these structures, which are in the second list, and therefore these five organizations, will be able to transmit their comments, their observations, their statements, or their documents as written material. We fully support your proposal. which is to create an internet resource where all these statements would be published. This would allow... to progress in the question exam that you identified for this session and that will also be raised during the next sessions.",2
S1M15,1,1,Cuba,"Cuba representative, please. Thank you, President. It is a pleasure to be here. Thank you, Mr. President. It is a pleasure to be here. As was the case in the past, you know that you can count on the full participation of my delegation. I asked for the floor, I will express myself briefly to ask for clarifications on some of the procedures to be followed and which are very important for my delegation. You submitted a proposal, I understand that the Russian Federation accepted this proposal, but as for the delegation of Cuba, we need to send... to our capital, the list of organizations for approval. I would like to thank you for the way you managed to find compromises during our organization session. We have asked for a list and you have indeed submitted this list that we have just received. We have transmitted it to our capital. I simply ask you to give us a deadline so that this list can be approved by our capital. As for the work program that you have broadcast, I understand that we could show some flexibility, but formal decisions will be taken. You also submitted a proposal that will have to be adopted at some point or another. This can be done simply, but an adoption will be necessary. I would therefore like to clarify that... It seems to us that we are still at a stage of consultation to find out if we can accept or not this participation. You know that Cuba supports the participation of civil society, especially on disarmament issues. Their participation seems positive to us, but... I ask you to give us a deadline to reach a final decision on the subject. I understand that you only made a proposal and that no decision has yet been taken. We have also taken note of the decisions taken in New York, but I would like to take this opportunity to underline the fact that it does not seem appropriate that the subjects dealt with in Geneva face the subject of decision in New York. without Geneva being informed, especially on the dates chosen for the meetings. Our delegation did not have any problems interpreting the decision taken by the General Assembly. We understood that two sessions would be organised. However, as I said, we are concerned that calendar decisions are made without consulting Geneva. has a representation in New York and our delegation brought us internal consultations. But I have trouble imagining the headquarters of Geneva decided on a meeting date in New York. There is a Cuban saying that says that a tree that is not twisted will never see its trunk re-straighten. We want to avoid this situation. We are seeking to support positive results within this working group. You know that this is our national position.",2
S1M16,1,1,Geneva,"Thank you, Mr. President. And once again, I welcome you to Geneva. I thank the representative. of Cuba. Thank you for your support and your constructive participation in our work. As for your questions, well... I have formulated a proposal regarding the participation of non-governmental and civil society representatives. I did not ask for a formal decision to be made on the subject, because it is a proposal that was born following long exchanges between delegations during the February organizational session. We also debated this bilaterally over the past few months.",2
S1M17,1,1,Cuba,"I understand that it is necessary for the Cuba delegation to have a deadline to obtain... the Green Fire of its capital, concerning the participation of these different entities. We will certainly try to take your decision into account. We hope to be able to... on your approval at the end of this session. As for the dates now... The meeting dates have not really been decided in New York. What has been decided in New York is the procedure to follow, the decision that has been taken regarding the dates.",2
S1M110,1,1,United Nation,"This is Mrs. Sylvia Balache, president of the Group of Work No. 2 of the UN Commission on the Disarmament. She will present the work of this group. Thank you, Mr. President. First of all, allow me to congratulate you on the occasion of your election as the president of this working group. I wish you a lot of success in your work. Mr. President, this year, the working group 2 of the disarmament commission has taken hold of the point entitled recommendations to promote practical implementation of measures of transparency and confidence in space activities in the view of preventing a race to armament in the space of the atmosphere on the measures of transparency and confidence in space activities. The disarmament commission has not met since 2018, and therefore this year the objective is to familiarize delegations with our work on this subject and then facilitate the exchanges of views and proposals throughout the session. To do this, I decided to invite experts from various international and non-governmental organizations to make presentations. These exhibitions were well received. The delegations were able to raise questions that were mentioned by the experts, and we were able to create and set the setting for next year's session. The names, affiliations and subjects that were raised by the experts are in the summary of the presidency of this meeting that I produced personally. Now, on the background, the work group examined the measures of transparency and confidence of the 2013 report of the Governmental Experts Group. Subject by subject, we heard expert presentations and we proceeded to exchange views. We also examined sections 5 to 7 of this report in the same way. During the deliberations, delegations have made it clear that it is important to ensure that the space is used for peaceful purposes and that the existing legal regime applies to space activities. It has been suggested that the Commission of Disarmament be able to reaffirm the existing legal regime. of space activities adopted by the Committee on Pacific Uses of Space, the COPUS. The issue of the rapid launch of negotiations at the disarmament conference of a legally binding instrument on the prevention of a arms race in the space has also been raised. And in this context, this unlimited composition work group has also been mentioned. The continuation of these measures of transparency and confidence in space activities, as contained in the 2013 report of the GGE, was addressed in detail in view of using these measures to reduce the risks of misunderstanding and misappreciation. It has been recalled that these measures could represent the starting point of a legally restrictive instrument. and which would deserve more exchanges. The importance of information exchanges on national space policies and space activities has been put forward and it has been suggested to make these public policies easily accessible. Regarding information exchanges and notifications regarding space activities and notifications for reducing risks, many delegations have... to know what they had done since 2013. It was mentioned that states should also share their information about the knowledge of the space environment, and provide communications about their orbit maneuvers. and launch notifications, as well as communications about possible collisions. Regarding maintenance of satellites in service or debris collection, it was highlighted that this could be considered a threat if we do not know the intention behind these activities. In this context, the importance of total transparency and the consent of all States concerned by these activities has been highlighted. The code of conduct of the AECO against the proliferation of ballistic missiles has also been mentioned as an essential measure of confidence and transparency. The working group has also examined the topics of contact and visits on the launch sites for the working group. Concerning international cooperation, the consultation mechanisms, information and coordination. The delegations supported measures to promote international cooperation in the peaceful use of the space and the use of consultation mechanisms. It was proposed that the States create contact points to reduce the risks of escalation and conflict. In order to implement paragraph 37 of the 2013 report and in application of the General Assembly, in resolution 76-231, the working group has proceeded to exchange information and deliberations on national space policy. This part of the session has been a great success. In the end, 11 States have presented their national space policy. To conclude, the Member States have also examined the importance of political commitments. to not deploy weapons in the space first and the importance of universalizing this initiative, which could be a measure of transparency and fundamental confidence. The definition of a weapon in the space or the fact that a good number of States consider that weapons have already been deployed in the space has also been raised. Allusion was made to the initiative to adopt a national commitment to not lead anti-satellite missile tests to direct ascent. It was proposed that such a national commitment represent the starting point of a general international commitment and could be erected as a new international norm of responsible behavior in space. It was said that, certainly, the commitments of this nature represent a step in the right direction. This is, nevertheless, a declaration that may not have practical impact. On the basis of the deliberations of the working group, an activity report has been adopted. The working group has therefore taken an important step towards the realization of its mandate. Mr. President, I hope that this brief overview of these works led to New York. will benefit from the work of the non-limited composition working group while you start your own deliberations today. Thank you, Mr. President. I thank Mrs. Sylvia Balache, president of the Work Group 2 of the UN's disarmament commission, for her presentation on the work of this group. It is also a valuable contribution to our delegations, our deliberations rather. This concludes our point 1 examination. I wish you all the best. You are invited to go to point 6A, to the day order, entitled, Reduce Space Threats by Norms, Rules and Principles of Responsible Behavior. To make the inventory of existing international legal and normative frameworks concerning the threats that the States pose. in the space. As it was announced, we will start a thematic debate. The first theme, international law, concerning the threats arising from the behavior of states in the space. We will hear Mr. David Kwan-Waychen, Executive Director of the McGill Research Center. in the field of aerospace law, Mr. David Koploff from the University of Georgetown, Department of Law, and Ms. Setsuko Aoki from the University of Keio, Department of Law. As has already been mentioned, this will be an informal exchange, and experts will not be interviewed. We will then... Okay, so I will. To the board. Professor David one way channel. Do you sound like a research on the air on the Tiki special. You have the power. Thank you. Honorable Jefferson. This English delegates and observers. It is a great honor to be invited to address the open and working group and to contribute to the first substantive agenda item. I'm humbled to represent the McGill Center for Research in Air and Space Law, the Institute's research arm, which for decades has been at the forefront of research and dissemination of knowledge in space law, including on topics relating to arms control and disarmament in outer space and the peaceful and military uses of outer space. My colleague, Professor Ram Jaku, acting director of the McGill Institute, senses regards for not being able to deliver remarks in person. We hope our small contribution will norms, rules, and principles of responsible behavior. Such norms, rules, and principles will go a long way to strengthening existing international law as they apply to outer space, building greater confidence and transparency, as well as maintain safety, security, sustainability of space activities for the benefit of all. From the outset, we wish to underline that even in the absence of a legally binding instrument on the prevention of an arms race in outer space or a binding instrument on the prevention of the placement of weapons in outer space and of the threat or use of force in outer space, there are laws and legal principles that place restraints on the use or testing of weapons and other military space activities. The following remarks build on the written statement already submitted to the working group and will be centered around the following. One international law, including the UN Charter is relevant and applicable to the peaceful exploration and use of outer space. international law is relevant and applicable to all space activities, including the weaponization of outer space and military activities in outer space. Three, international law must be observed in good faith at all times. And four, existing international as it applies to outer space must be interpreted and clarified in accordance with the unique legal and physical nature of outer space. Firstly, we echo the submissions of other delegates. including the International Committee of the Red Cross, that space activities, quote, do not occur in the legal vacuum, but are constrained by existing international law, notably the UN Charter and the Outer Space Treaty, unquote. The Outer Space Treaty provides prohibitions relating to specific weapons and military activities. There is a prohibition on objects carrying nuclear weapons or any other kinds of weapons of mass destruction, installation of such weapons. on celestial bodies or stationing of such weapons in any other manner, and the complete prohibition on the establishment of military bases, installations and fortifications, the testing of any weapons, and the conduct of military maneuvers on celestial bodies. These two fundamental principles remain relevant to this day and underpin the regime governing the weaponization of outer space and military activities in outer space. In addition, article one of the outer space treaty provides the exploration and use of outer space, including the moon and other celestial bodies, must be carried out for the benefit and interest of all countries. Furthermore, article three of the outer space treaty provides that space activities must be conducted in accordance with international law, including the UN Charter, in the interest of maintaining international peace and security and promoting international cooperation and understanding. Thus, the legality of any action of any state that has a bearing on the weaponization of outer space and any military activity in outer space must be assessed in accordance with norms specified in the outer space treaty and must be in accordance with international law in general. In recognition of the unique domain of outer space and the unique nature of space applications, all space activities. Specifically, the outer space treaty provides states must have due regard to the corresponding interests of other states when conducting space activities. States must undertake international consultation before proceeding with any space activity expected to cause potentially harmful interference with the space activities of other states. States have the right to request consultation regarding a space activity planned by another that would potentially cause harmful interference with activities in the peaceful exploration and use of outer space. And finally, states must inform the UN Secretary General, as well as the public and the international scientific community to the greatest extent possible, feasible and practicable of the nature, conduct, locations and results of such activities. My dear colleague, Professor Setsuko Aoki will elaborate on the principle of view, regard surely. So I defer to expert knowledge on that. Suffice to say, the aforementioned obligations attach to freedom of exploration and use of outer space, regardless of whether such activities are military or non-military in nature, and regardless of whether such activities are performed by governmental or non-governmental entities. Concerning the weaponization of outer space, the above principles apply regardless whether a weapon is space-based, earth-based, or employs means of disruption. or destruction that is facilitated through non-collecting means or even cyber means. Similarly, the above principles apply to military activities and outer space directed at outer space and from outer space. Indeed, fundamental principles of international law, international space law, and even international humanitarian law would constrain the testing and use of any weapon or methods or means of war that exist today that are under development. that may come into being in the future. Chairperson, there are many provisions of international law that have direct applicability to the weaponization of outer space and military activities in outer space. Due to time constraints, I would allude to two important ones. In our view, the testing and use of any chemical, biological, or nuclear weapon in outer space, including on the moon and other celestial bodies, is prohibited under international law owing to specific obligations of writing as arising from treaties such as the Chemical Weapons Convention and the Biological Weapons Convention. From the environmental protection perspective, we should keep in mind that the Environmental Modification Convention prohibits, quote, military or any other hostile use of environmental modification techniques having widespread, long lasting, or severe effects as the means of destruction, damage, or injury. Contrary to assertions that the Outer Space Treaty and other space law treaties are outdated, there is consensus among states even today that they are still relevant and applicable to accommodate new space activities and applications and meet emerging new challenges. Indeed, as mentioned, various other international treaties and customary international law principles would constrain space weaponization and military uses of outer space. Secondly, we note that international law Sorry, international space law, there is no distinction made between military or non military activities. As states have expressed during the drafting of the outer space treaty, it is impossible to distinguish between military and non military uses of outer space. What is important is not whether activities are military or non military, but whether activities are consistent with the UN Charter and other obligations of law. It must adhere to and be conducted in accordance with the fundamental principles of international law, including, as mentioned, the UN Charter. Thirdly, having outlined the special legal principle that's constrained testing and use of weapons in outer space and military activities in outer space, we underline that international obligations must be observed and interpreted in good faith. The good faith principle is a fundamental principle in international law and is the root of international peace and security. as the International Court of Justice pronounced in nuclear test case, trust and confidence are inherent in international cooperation, in particular in an age where this cooperation in many fields is becoming increasingly essential. Without prejudice to the body of international humanitarian law, it applies in the event of an armed conflict. Obligations flowing from the UN space treaties and from general international law apply and must be observed in good faith at all times. Having consented to the outer space treaty and other space law treaties, states cannot simply disregard obligations that qualify the weaponization of outer space and military space activities. The obligation to cooperate, have due regard and enjoy shared trusteeship of outer space necessitates good faith on all members of the international community. If states do not fulfill in good faith, binding obligations under existing international treaties, how can they be expected? to do so with regards to new norms, rules, and principles the international community aspires to develop. This brings me to my final point, and that is international law, as it applies to outer space, must be interpreted and clarified in accordance with the unique legal and physical nature of outer space. In various written submissions to the group, it has been affirmed that international law applies to outer space. However, how international law law applies to this unique environment and to the spatial nature of space activities is different from domains on Earth. Dear Chairperson, we submit that the clarification of how existing law applies to the weaponization of outer space and military activities in outer space is timely and vital. Though we understand the UN Charter applies to outer space, what does it mean to conduct space activities in accordance with, for instance, prohibition on a threat or use of force? What does it mean to carry on space activities in accordance with principles of non-intervention? What does armed attack mean in space when it's possible that states may perceive an attack as involving non-connected means and methods of causing damage or harm? Could, for instance, a state unilaterally perceive the duration and intensity of a rendezvous and proximity operation or the spoofing at of electromagnetic communication signals as amounting to an armed attack. The clarification of binding legal norms have direct relevance to many of the issues under consideration by the group in identifying and reducing space threats. In this regard, we at the McGill Center, together with a consortium of international partner institutions have been developing the McGill Manual on International Law, applicable to military uses of outer space. Select rules of the manual are annexed to our written submission for the benefit of the working group. What a manual and detailed commentaries on fundamental principles of international law as they apply to outer space will be available in the latter half of 2022. We believe the clarification of key principles international law is necessary to fill in the gaps in relation to the regulation of space weaponization and military space activities. We recommend that efforts for the clarification and restatement of international law as it currently exists be undertaken and continuously carried out. An international and independent group of experts should be convened for this specific purpose. And having extensive experience and knowledge in this regard, we'll be happy to participate in this group if invited. To conclude, we would like to express our sincere gratitude to the chairperson. for inviting civil society institutions to contribute to the pressing discussions of the working group. Dear trade person, we reiterate that principles of existing international law are applicable to all space activities, including military space activities and that all testing or use of weapons must be consistent with existing international rules and principles, particularly the principle of due regard prior consultation in the event of potential harmful interference. and conducting space activities for the benefit of and in entrance of all countries. We underline that existing international law as it applies to outer space must be interpreted and clarified in accordance with the unique legal and physical nature of outer space. I end with the wise words of US Ambassador Goldberg who in 1966 said it is quote. a matter of utmost necessity that the space age should continue to evolve in an environment of peace, law and cooperation, and that political conflict on Earth need not inhibit the development of a meaningful legal regime, government and the activities of men and states elsewhere."" I thank you for your attention. I thank... Juan Weichen, Executive Director of the McGill Research Center, a very interesting aeronautical and space exposition. I now give the floor to Professor David Koploff from the Department of Law at Georgetown University. You have the floor.",4
S1M112,1,1,Japan,"Thank you very much for your kind introduction. Thank you so much for giving me the... the opportunity to talk on the subject of how can the principle of dual regard be applied to address threats arising from state behaviors with respect to outer space. My name is Setsuko Aoki, Professor of Law at Keio University Law School, Tokyo, Japan. It is not sufficiently recognized that the Outer Space Treaty, the most important treaty in the field of international space law, has an effective principle of dual regard to substantially mitigate threats. arising from state behaviors with respect to outer space. The first sentence of Article 9 provides that states parties to the treaty shall be guided by the principle of cooperation and mutual assistance and shall conduct all their activities in outer space, including the moon and other celestial bodies with due regard to the corresponding interests of all other states parties to the treaty. Article 9 has other three sentences providing obligations to avoid harmful contaminations in outer space and adverse changes of the Earth's environment. The obligation to seek a prior international consultation when a state is likely to cause potentially harmful interference with activities of other states. And the right of a state to request consultation to the state which is likely to cause potentially harmful interference with its space activities. The obligation of dual regard is independent of these three obligations and the right, and as such, the meaning and the criteria to apply dual regard obligation have to be analyzed independently. Reading only the first sentence of Article 9 leads to the understanding that dual regard is self-restraint in space activities on the part of state parties based on reciprocity, equality of states, and it is strengthened by the obligation of international cooperation. This interpretation is reinforced by other articles of the outer space treaty that reassures the legal obligation of the common interests and the freedom of space activities on the basis of equality. As due regard is clearly mentioned as a legal obligation in Article 9, non-compliance with due regard in a specific space activity would be the violation of the outer space treaty that could lead to the pursuit of international responsibility of the state attributable to that violation. A new legally binding instrument is not needed to pursue international responsibility. This merit should not be underestimated. However, but relatively less attention has been paid to do regard to international space flow up until now. The meaning contents or criteria to determine dual regard is not clear enough to directly apply this test to address threats in outer space activities. Therefore, with the help of other fields of international law that have established the dual regard rule for allocating responsibility between relevant states, the meaning and the criteria of dual regard obligation is presented. Then necessary measures and steps. for the effective application of dual regard in space activities will be contemplated. Looking at other fields of international law, with respect to treaties, due regard obligation was first appeared in the 1944 Convention on International Civil Aviation, which provides that states parties undertake that state aircraft shall have a due regard for the safety of civil aviation. The term due regard is found about 10 times in the United Nations Among which the reference to high seas freedoms that shall be exercised with due regard for the interest of other states seems to have a close resemblance to due regard obligations specified in the outer space treaty. Similar terminology, reasonable regard is also used in the low of the sea convention and the high seas convention and it is assessed that due regard and reasonable regard. have the same implications. Thus, state practice on the criteria of reasonable regard is also a useful reference for thinking about the space, well, due regard for space activities. Fisheries jurisdiction case of the International Court of Justice, as well as some cases in international arbitration and international tribunal for the law of the sea, are quite useful to study the meaning and the methods of the application of due regard. Besides, International Committee on the Red Cross has assessed dual regard obligations as a rule of customary international law to the protection and the preservation of natural environment during armed conflict. Its commentary is also useful in considering the regard test applicable to space activities. and the criteria of due regard as below. For saving time on each finding, I also add space law perspectives. Concerning space law perspectives, I think it has to be especially taken note of that outer space is unique, as David already mentioned, as the whole area is that beyond national jurisdiction and its environment is vulnerable. For instance, towards the generation of space debris that might stay several decades or more, and that would adversely affect any orbit activities. Besides, the outer space treaty in general, and specifically Article 9, expressly underline the strengthened obligation of international cooperation among states parties. These points are not necessarily found in other fields of international law. The first finding is that due regard is a duty of self restraint in exercising the rights given to all or multiple states due regard as a duty is similar to the prohibition of an abuse of rights strong as a free strain may be required in space activities owing to the strength and obligation of international cooperation. The second finding is that you regard is a balancing mechanism between states. that have identical rights, such as the freedom of navigation, or different conquering rights, such as the right of the fishing and the right of military maneuver, or even the colliding rights and duties. The third finding is that duty of due regard is satisfied if a state exercises its right without resulting in any unjustifiable interference with the rights of other states. The question of what is an unjustifiable interference should be ideally answered through the interpretation of Article 9 of the Outer Space Treaty. But it is not expected as due regard principle has not been actively used by states parties. But this may change once states are determined to use due regard as a tool. to regulate responsible behaviors in outer space for subsequent state practice would not only determine the treaty interpretation, but also clarify the criteria of the duty of due regard. We already have a precedent concerning the interpretation of potentially harmful interference with activities of other state parties provided in Article 9 of the Outer Space Treaty. At the time of drafting, It was understood radio and electronic interference resulting from various innovative military tests started in early 1960s. Since around the mid 1990s, however, generating space debris became the central subject of potentially harmful interference by states parties. And the legal obligations to mitigate space debris had been gradually established. urged by the shared recognition and helped by various technically based guidelines, including especially the 2007 space debris mitigation guidelines endorsed by the UN General Assembly, increasing the number of states today have national regulatory frameworks for implementing space debris mitigation. The same path is quite possible for a dual regard principle if maintaining responsible behavior. is believed to observe dual-regard obligation, and state practices accumulated with the help of detailed guidelines and implementing national regulatory frameworks, dual-regard would be effectively applied to space activities. In this regard, the 2019 Long-Term Sustainability Guidelines would appropriately help state practice. The first finding is that states often exercises, regulatory and enforcement actions to satisfy the dual regard obligation. This also applies to space activities, especially because duty of dual regard to other countries cannot be attained only by the actions and omissions of governmental agencies due to increased privatization of outer space and inherently dual use nature of space activities. Finally, The fifth finding is that the standard of due regard in each case is determined by the specific circumstances and the nature of rights exercised by states. This has to be identified in dispute settlement mechanisms. In the future, space law may need dispute settlement mechanisms, in addition to prior consultation in Article 9. However, this doesn't seem fit at present. As a conclusion, I'd like to emphasize two things. First, dual regard is a legal obligation for States parties to abide by. In other words, we already have a legally binding tool to pursue international responsibility against the violation of dual regard. Second, accumulated state practice will make responsible behaviors in space activities dual regard obligations for States already existent. The long-term sustainability guidelines and increasing national regulatory frameworks to implement them will help develop methods of how most effectively due regard to principle be applied to state behaviors. Thank you very much for your kind attention. I- I f- I thank Professor Setsuko Aoki from the Department of Law of the University of Keio for her very interesting presentation. I now give the floor to the delegations who would have comments to formulate or questions. I see that the representative of Cuba is asking for the floor. I'm sure his speech will be of the utmost importance. Go ahead.",4
S1M113,1,1,Cuba,"Thank you Mr. President. First of all, I would like to thank you for organizing this round table made up of eminent experts. I will have two preliminary comments to formulate. I will also have a question to ask the speakers. First of all, I understand that this is an informal session. You have chosen the subject of this meeting, but we find it a shame that we are only concerned with the behavior of the states as part of point 1, while the behavior of other actors has an effect on the situation. And perhaps a wider point of view could have come to feed our reflections. It is also unfortunate that for financial considerations, especially that we know, we have not been able to count on the interpretation in the official six languages ​​of interventions as interesting. It is unfortunate that we spend resources and time in this type of session while our interpreters are there in the cabin and that they cannot do their work. This type of exchange could be useful for representatives, for capital representatives, for other actors who do not necessarily master English. The principle of multilingualism is a principle that we defend, of course, and I am sure that you will help us to solve this problem for the upcoming sessions, by organizing our meetings in another format, so that these extremely interesting knowledge is not lost in other languages. We sometimes have an interpretation service for meetings whose topics are less specific and important than those of this morning. I thank the speakers for their interventions and I would like to refer now to some of the elements that have been mentioned. First of all, I thank the first speaker for his excellent commentary which summarized with brillo the way in which the principle of good faith must be applied. in all areas of law, including space. I would like to know if from his point of view and that of the other speakers, we can interpret the application of other principles to this light. I think of the principle of precaution, the principle of responsibility in the event of damage, principles that exist in the international law of the environment. Can these principles apply in space? So can we not limit ourselves to this principle of good faith, the principle of the prohibition of use of force, but are there other principles, so I repeat the principle of precaution or of an objective responsibility in the event of damage can apply to the principles that are used in the context of the environment? Second question, more relevant in my opinion, in relation to the subject that occupies us. I would like to know what is the criterion used by the intervenents in the framework of the application of the principle of a peaceful use of space, principle taken in existing treaties. I would like to know if from the point of view of the intervenents, this principle is not a clear prohibition. to install weapons, to deploy weapons or military systems in space. Since this principle that exists in treaties should not be interpreted in a broad way on the legal level. I understand that from a legal point of view, this principle of the peaceful use of space and celestial bodies may be used in a reduced manner. The only thing that is forbidden to deploy in space are weapons of mass destruction. This is a specific, concrete ban in terms of international law, but there is a broader principle. the principle of peaceful use of space and celestial bodies. I would like to know from the point of view of the speakers how this principle can be applied in a wider way, if it can be applied in a wider way. And if we could understand in this case that it forbids the use of all types of weapons in space or on celestial bodies or that it forbids all military use of space. I thank you. Sorry for keeping the speech for so long. I thank the representative of Cuba. for your questions and comments. I would like to say that we have received good feedback from you. As the president of this group, I completely agree with the Cuban representative regarding the importance of multilingualism. And we will continue to provide interpretation services in official languages within our meetings. especially for what is formal in our meetings. In this context, the interpretation services are of course provided. I will now give the floor to our experts so that they can answer the questions raised. This question was for the first experts, Professor Chen, if I'm not mistaken. I thank the representatives of Cuba for this brilliant observation and for their kind words. I believe that the first question was about the application of the principle of good faith in space, and whether it is about space activities. The question was whether principles such as the principle of precaution would apply to the extra-atmospheric space. My answer would be yes, as I said, and as it was said in our written contributions. The space activities, including the armament of the space, including the military space activities, or more precisely the activities of military nature that take place in space or towards space or from space, do not appear. nowhere. They are inscribed in a wider context and are conditioned by the existing law. You have mentioned the importance of clarifying the international law regarding spatial activities and the application of the law to the physical and legal nature of the extra-atmospheric space. So yes, I think the principle of precaution applies to Earth. and in the extra-atmospheric space. In the next few days and during the planned sessions, we have been trying to clarify how, for example, this precautionary principle applies to the extra-atmospheric space. This is your second question now, which is based on the principles of the Pacific uses of the extra-atmospheric space. It has been explained by different States. This is a non-aggressive Pacific way. This does not prevent the application of the rights and obligations under the United Nations Charter, and especially the right to legitimate defense. There is also a wide consensus on this subject. What is forbidden, however, is to deploy weapons in the space of the atmosphere. And once again... I would like to engage the working group to shed light on the application of international law and the importance of applying international law in good faith, especially in the context of certain activities such as deploying particularly aggressive weapons in space, which would represent a violation of norms that apply to space activities, including the principle of taking into account I hope I have answered the questions of the delegate of Cuba. Thank you. I thank Professor Chen for his answer. I don't see any other requests for comment.",4
